questionNumber,type,dateModified,categoryPath,learningPointNumbers,sectionLetter,stem,question,option1,option2,option3,option4,option5,explanation1,explanation2,explanation3,explanation4,explanation5,correctOption
3,,,,4,c,,"The GP also ordered some blood tests. Haematinic studies demonstrate very low serum B12, as well as a low serum folate. Which of the values would you expect to be reduced in the blood tests?",Homocysteine,Methylmalonic acid,Anti-intrinsic factor antibodies,Reticulocytes,"Anti-gastric parietal cells
","Homocysteine is reduced back to cystine by the action of B12. In a B12-deficient state, this can accumulate, increasing the risk of CVD.","Methylmalonic acid is a toxic product that is converted back to its non-toxic form by B12. In a deficient state, this can accumulate, leading to progressive and irreversible nerve damage.","This lady has a history of Grave’s Disease, meaning the most likely cause of her B12 deficiency is pernicious anaemia. This is characterised by anti-intrinsic factor antibodies.","Correct. Reticulocytes are typically low in B12 deficiency due to impaired red cell division, as a result of fewer available nucleotides.","This lady has a history of Grave’s Disease, meaning the most likely cause of her B12 deficiency is pernicious anaemia. This is characterised by anti-gastric parietal cells.",4
3,,,,11,d,,She is diagnosed with pernicious anaemia. What is her treatment?,"IM vitamin B12 lifelong, followed by folic acid supplements","Oral Vitamin B12 lifelong, followed by folic acid supplements","Oral Folic acid for first 3 months, then IM vitamin B12","IM Folic acid for first 3 months, then oral vitamin B12","Oral vitamin B12 lifelong, followed by IM folic acid","Correct. B12 levels need to be corrected parenterally first, as folic acid may mask the features of B12 deficiency. The deficit of B12 (if it is untreated) will lead to progressive nerve damage.","This lady has pernicious anaemia and as such, oral vitamin B12 cannot be absorbed due to the lack of intrinsic factors.",B12 must be replaced before folate because folate supplementation can mask the symptoms of B12 deficiency. The deficit of B12 (if it is untreated) will lead to progressive and irreversible nerve damage.,B12 must be replaced before folate because folate supplementation can mask the symptoms of B12 deficiency. The deficit of B12 (if it is untreated) will lead to progressive and irreversible nerve damage.,"This lady has pernicious anaemia and as such, oral vitamin B12 cannot be absorbed due to the lack of intrinsic factor.",1
3,,,,12,e,,The patient is worried about what the diagnosis of pernicious anaemia means for her future cancer risk. What should the doctor advise?,She is at a 2-3 times increased risk of bowel cancer,She is at a 2-3 times increased risk of lung cancer,She is at a 2-3 times increased risk of thyroid cancer,She is at a 2-3 times increased risk of gastric cancer,She is at a 2-3 times increased risk of leukaemia,"Pernicious anaemia is most associated with a 2-3 fold increase of gastric, not bowel cancer.","Pernicious anaemia is most associated with a 2-3 fold increase of gastric, not bowel cancer.","Pernicious anaemia is most associated with a 2-3 fold increase of gastric, not bowel cancer.","Pernicious anaemia is most associated with a 2-3 fold increase of gastric, not bowel cancer.","Pernicious anaemia is most associated with a 2-3 fold increase of gastric, not bowel cancer.",4
4,active,11/01/2022,Haematology,13,a,"A neonate born in the UK is diagnosed with sickle cell anaemia. He is the first child, and neither his mother nor his father suffers from the condition. However, his maternal grandmother also had this diagnosis. His mother declined antenatal screening. The mum is told this is an inherited disease.",What inheritance does sickle-cell have?,Autosomal dominant,X-linked dominant,X-linked recessive,Autosomal recessive ,Mitochondrial,Sickle cell disease is an autosomal recessive condition. Examples of autosomal dominant conditions include hereditary spherocytosis and Marfan’s syndrome.,Sickle cell disease is an autosomal recessive condition. An example of an X-linked dominant condition is fragile X syndrome,Sickle cell disease is an autosomal recessive condition. Examples of X-linked recessive conditions include G6PD deficiency and Duchene’s muscular dystrophy.,Correct. Sickle cell is an autosomal recessive condition. Other examples of this inheritance pattern include cystic fibrosis and beta-thalassaemia.,Sickle cell is an autosomal recessive condition. Examples of mitochondrial diseases include MLEAS and Leigh syndrome.,4
4,,,,18,b,,How was the neonate likely diagnosed?,Routine blood film,Routine heel prick test,Routine haemoglobin electrophoresis ,Routine genetic testing ,Routine ultrasound abdomen,Blood film is not done routinely and would not show sickling at this early stage. This is due to the high level of HbF still present in the baby. The defective haemoglobin (HbS) starts to appear after 6 months of life and would not be present in the newborn.,Correct. All babies born in the UK are screened for sickle cell disease and this will pick up most cases. ,This test is not offered routinely.,A screening heel prick test will detect most cases.,"This test is not offered routinely. Due to high levels of HbF, there should not be any spleen findings this early on",2
4,,,,14,c,,"The mother is told that the disease occurs due to a genetic mutation causing sickling of red blood cells, which form hard insoluble crystals. Why does this occur?","Glutamic acid is substituted by valine, which is hydrophobic","Valine is substituted by glutamic acid, which is hydrophobic","Glutamic acid is substituted by valine, which is hydrophilic",A deletion of phenylalanine ceases the production of a vital protein,"A translocation reaction between chromosomes 9 and 22, leading to abnormal protein formation ","Correct. The hydrophobic properties cause valine molecules to clump up together, leading to the sickling.","In sickle cell anaemia, glutamic acid is substituted by valine.","Valine is hydrophobic, which is what causes the aggregation.",This is the pathology of cystic fibrosis.,This is the pathology behind chronic myeloid leukaemia,1
4,,,,21,d,,The mother is told about the risk of sickling and asks about ways to prevent this. Which of the following should she not be advised?,Keep the baby well hydrated,"The baby may be at a higher risk of infection, thus she should contact healthcare staff early if she suspects this",Keep the baby very cool as heat may bring about sickling,The child may need prophylactic antibiotics ,The child may require extra vaccinations such as the 5-yearly pneumococcal vaccine,Dehydration can precipitate a vaso-occlusive crisis.,Sickle cell patients are at a much higher risk of infection due to hyposplenism,"Correct. Cool, and especially cold, temperatures may trigger sickling.","Sickle cell patients are at a much higher risk of infection due to hyposplenism, thus need prophylactic antibiotics","Sickle cell patients are at a much higher risk of infection due to hyposplenism, thus they need more regular vaccines.",3
4,,,,15,e,,The mother would also like to know about complications of Sickle cell disease. Which of the following is not a complication? ,Strokes,Thrombotic events such as DVT/PE,Life-threatening infections ,Increased susceptibility to malaria,Aplastic crisis,"Strokes could occur due to sickling and occlusion of vessels supplying the brain. Over time, recurrent occlusions may lead to the formation of extensive collaterals vessels, which resemble a “puff of smoke” on MR angiogram. This is called Moya Moya disease.","Excessive haemolysis uses up endogenous nitrous oxide, leading to vasoconstriction, and thus, increases the risk of clotting.","Hyposplenism due to recurrent infarcts to the spleen may lead to life-threatening infections from meningococcal disease, as well as increased susceptibility to non-typhi salmonella.",Correct. Sickle cell disease and sickle cell traits are protective against malaria. This may explain its high prevalence in sub-Saharan Africa.,Infection with Parvovirus B19 may lead to transient red cell aplasia.  This is characterised by the absent formation of reticulocytes,4
5,active,11/01/2022,Haematology,16,a,"A 2-year-old boy who has recently migrated from India is brought into the doctors due to inconsolable crying. 
On examination, the child has white sclerae but significant sub-conjunctival pallor. He is tachycardic, dyspnoeic, lethargic and hypotensive, and has a central capillary refill time of 3 seconds. His abdomen appears distended, and he has splenomegaly on palpation. A full blood count shows marked anaemia, and there is presence of sickle cells on his blood film. 
",What is the most likely diagnosis?,Acute chest syndrome,Isolated painful crisis,"Aplastic anaemia
",Sequestration crisis,Haemolytic crisis,"Although sickle cell disease often does lead to haemolysis, the history would provide hints such as scleral icterus, dark urine or reticulocytosis on FBC.","Correct. This is the classical history for a sequestration crisis. The marked pallor and shock occur due to the occlusion of blood vessels leaving the spleen, leading to sequestration of blood and splenomegaly. The sequestering blood cells cannot circulate, leading to hypovolaemic shock.","Aplastic anaemia often results following a viral infection, especially parvovirus B19. There is no history here of a “slapped cheek appearance” or coryza, which would hint towards a passing viral infection. ","Correct. This is the classical history for a sequestration crisis. The marked pallor and shock occur due to the occlusion of blood vessels leaving the spleen, leading to sequestration of blood and splenomegaly. The sequestering blood cells cannot circulate, leading to hypovolaemic shock.","Although sickle cell disease often does lead to haemolysis, the history would provide hints such as scleral icterus, dark urine or reticulocytosis on FBC.",4
5,,,,20,b,,What is his acute management?,Bone marrow transplantation,Splenectomy,Packed red cell transfusion,Hydroxycarbamide,Oral fluid resuscitation,This is the last-line management. First-line management is the treatment of shock via packed red cell transfusion.,"Splenectomy may only be considered if the episodes are recurrent. However, his most immediate management should focus on resuscitation and treatment of shock. Note, while splenectomy is effective at reducing future sequestration, it does leave the patient at a significantly higher risk of infections.","Correct. Immediate treatment of shock may include IV fluid boluses or, in the case of marked symptomatic anaemia, a packed red cell transfusion.","Hydroxycarbamide forms part of the management for chronic sickle cell disease. It works by increasing the available levels of foetal haemoglobin via the means of increased gamma chain production. The production of HbF leads to fewer painful episodes, due to less sickling. ","While IV fluid may initially be used to treat shock, oral fluid is not sufficient. Note that in the presence of marked anaemia, IV fluids may worsen the features further due to diluting the blood. As such, marked anaemia requires blood transfusions",3
5,,,,17,c,,It is decided the child requires a splenectomy to prevent further episodes of splenic sequestration. Which of the following should he be offered following a splenectomy?,6 in 1 every year,MMR vaccine every 5 years,Meningococcal ACWY vaccination every 5 years,Pneumococcal polysaccharide vaccine every 5 years ,Influenza vaccine every 5 years,"This is given routinely at 8, 12 and 16 weeks of life. Following a splenectomy, NICE recommends a PPV vaccine to be given every 5 years, and influenza vaccine every year. ","MMR is given routinely at 1 year, and 3 years and 4 months of life. Following a splenectomy, NICE recommends a PPV vaccine to be given every 5 years, and influenza vaccine every year. ","This is given routinely at 14 years of age, not every 5 years. Following a splenectomy, NICE recommends a PPV vaccine to be given every 5 years, and influenza vaccine every year.","Correct. Following a splenectomy, NICE recommends a PPV vaccine to be given every 5 years and influenza vaccine every year. ","NICE do recommend an influenza vaccine but this is given yearly, not every 5 years.",4
6,active,20/01/2022,Haematology,16,a,"A 23-year-old asylum seeker from Yemen is admitted to the hospital complaining of fever, shortness of breath, a wheeze, and severe chest pain. He describes having repeated infections and states that his younger brother used to have episodes of extreme pain and sadly passed away due to meningitis.  On examination, he has a fever, respiratory rate of 28, bi-basal crackles throughout his lung fields, and a normal abdominal exam. A chest x-ray shows bilateral infiltrations.",What is the most likely diagnosis?,Vaso-occlusive crisis,Acute chest syndrome,Sequestration crisis,Haemolytic crisis,Aplastic anaemia,"An isolated vaso-occlusive crisis is more characterised by bone, back and abdominal pain, and often does not involve the chest.","Correct. This occurs due to an inflammatory response to sickle cells occluding pulmonary vessels. The inflammation and occlusion lead to hypoxic vasoconstriction, hypoxia and further sickling. This is extremely difficult to distinguish from pneumonia.","This is most commonly seen in children and not adults. Furthermore, we would expect a large spleen on palpation. ","Marked features of anaemia and haemolysis (jaundice, dark urine) are not present in the history or examination.","Aplastic anaemia often results following a viral infection, especially parvovirus B19. There is no history here of a “slapped cheek appearance” or coryza, which could hint towards a passing viral infection.",2
6,,,,20,b,,"His Hb is 93 (normal: 135-180g/L), oxygen saturation at 92%. His heart rate is 110, and his blood pressure is 95/65mmHg. What is his immediate management plan?",IV fluids and oxygen,"Packed red cell transfusion, oxygen, broad-spectrum antibiotics, and analgesia",Hydroxycarbamide,Continuous positive airway pressure,Bi-level positive airway pressure,"The patient has acute chest syndrome and marked anaemia, thus, needs a red cell transfusion and oxygen. Since it is extremely difficult to distinguish between this and pneumonia, broad-spectrum antibiotics should also be prescribed. Analgesia is needed for the pain. IV fluid alone will not tackle all of the following features.","Correct. The patient has acute chest syndrome and marked anaemia, thus, needs a red cell transfusion and oxygen. Since it is extremely difficult to distinguish between this and pneumonia, broad-spectrum antibiotics should also be prescribed. Analgesia is needed for the pain.",Hydroxycarbamide forms part of the management for chronic sickle cell disease. It works by increasing the available levels of foetal haemoglobin (HbF) via the means of increased gamma chain production. The production of HbF leads to fewer painful episodes due to less sickling.,CPAP Is not used in the treatment of acute chest syndrome. It may be used in heart failure or obstructive sleep apnoea. ,Bi-PAP is not used in the treatment of acute chest syndrome. It may be used for non-invasive ventilation in patients with COPD.,2
6,,,,19,c,,He wants a formal diagnosis of sickle cell anaemia. Which of the following investigations plays no role in confirming his diagnosis?,Genetic testing,Haemoglobin electrophoresis,Blood film,Haemoglobin solubility testing ,Osmotic fragility testing,Genetic testing is one of the first-line investigations to confirm the diagnosis.,Haemoglobin electrophoresis can be offered in the absence of genetic testing and will show a lack of HbA with excessive HbS.,Blood film is useful in the diagnosis of sickle cell disease and may show sickle cells as well as features of hyposplenism. ,"Haemoglobin solubility testing is used in the diagnosis of sickle cell disease. When put in the reducing solution, the sample clumps up due to sickling.",Correct. This is the investigation for hereditary spherocytosis.,5
7,active,11/01/2022,Ophthalmology,"22,23",a,"<p>A 75-year-old gentleman presents with blurred vision which he has noticed getting worse over the last few years. He says the glare from oncoming traffic at night is particularly an issue, and that in the daytime the colour of his red car looks more faded than usual. He has type 2 diabetes mellitus which is controlled by diet alone, hypertension for which he takes 5mg amlodipine once daily and asthma, for which he uses beclomethasone and salbutamol inhalers.</p>
<p>On examination, the patient has a reduced visual acuity. The left eye does not appear red or inflamed, but the red reflex is absent. Both pupils constrict normally, and on fundoscopy the fundus and optic disc appear normal.</p>",What is the most likely diagnosis?,Optic neuritis,Diabetic maculopathy,Hypertensive retinopathy,Cataracts,Retinoblastoma,"Although optic neuritis can also present with reduced appreciation of colour vision (especially red), the other symptoms including nighttime glare and absence of the red reflex do not match. Additionally, optic neuritis is often seen in the context of multiple sclerosis, which normally affects young females.","Although this patient has a history of diabetes, the fundus was identified to be normal.",There is no mention of retinal changes corresponding to hypertension in the vignette.,"Correct. Cataracts is the most likely diagnosis, as indicated by the gradual reduction in vision, night-time glare, and loss of colour vision.</p>",Retinoblastoma is a congenital tumor that can present in new-borns with an absent red reflex. It does not present in this age group or demographic.,4
7,,,,24,b,,Which of the following systemic diseases are not a risk factor for cataracts?,Diabetes mellitus,Motor neuron disease,Neurofibromatosis type 2,Myotonic dystrophy,Atopic dermatitis,"Incorrect. Patients with diabetes are almost twice as likely to develop cataracts, which may be associated with dehydration of the lens secondary to hyperglycemia.",Correct. Motor neuron disease does not affect the lens during disease progression.,Incorrect. Around 60% of patients with NF2 present with cataracts.,Incorrect. Almost 90% of patients have cataracts in myotonic dystrophy before the age of 50.,"Incorrect. Patients with atopic dermatitis have been known to develop cataracts in 10% of cases, which may be related to repeated rubbing and trauma to the eyes.",2
7,,,,25,c,,Which of the following statements best describes how cataracts form?,"Opacification arises secondary to crosslinking between proteins, leading to pigmentation and clouding","Opacification arises secondary to increase diffusion of proteins into the lens, leading to pigmentation and clouding","Opacification arises secondary to loss of proteins from the lens, leading to pigmentation and clouding","Opacification arises secondary to crystallisation of water, leading to pigmentation and clouding","Opacification arises secondary to infiltration of cells into the lens, leading to pigmentation and clouding","Correct. As one ages, the proteins clump together via crosslinking from oxidative stress, increasing the stiffness and density of the lens. It also causes opacification and pigmentation as a result.",Incorrect. Proteins do not diffuse into the lens as part of cataracts.,Incorrect. Proteins are not lost as part of the pathophysiology.,Incorrect. Crystallisation of water doesn’t occur in cataracts.,Incorrect. Infiltration of cells does not occur in the development of cataracts.,1
7,,,,26,d,,Which of the following types of cataracts is most strongly associated with beclomethasone use in this patient?,Cortical,Nuclear,Subcapsular,Morganian,Hypomature,"Incorrect. Cortical cataracts are described as spokes like, which may be seen peripherally on the lens and in diabetes, hypertension and autoimmune disease.",Incorrect. Nuclear cataracts are associated with age related changes.,Correct. Posterior subcapsular cataracts are most strongly associated with steroid use which may be inhaled or systemic. It affects the area at the back of the lens.,Incorrect. This is a subtype of cortical cataract and may occur when it hyper matures and liquifies.,Incorrect. This is not a type of cataract.,3
8,active,11/01/2022,Ophthalmology,27,a,"<p> A 59-year-old with poorly controlled type 2 diabetes presents with blurred vision which he has noticed came on over the last few months. He describes rings around lights during night-time and has difficulty reading his books. He currently takes metformin 500mg, pioglitazone 30mg and empagliflozin 25mg.</p>
On examination, the patient has reduced visual acuity. The right eye does not appear red or inflamed, but the red reflex is absent. On fundoscopy, there appears to be the presence of hard exudates and evidence of new vessel formation.","The doctor explains to the patient that their condition is reversible, and in fact the most common cause of treatable blindness worldwide. Which condition may he be referring to?",Viral conjunctivitis,Cataracts,Diabetic retinopathy,Corneal clouding,Drug induced capsular opacification,"Incorrect. Though viral conjunctivitis is easily treatable and common, it is very unlikely to cause blindness. This is therefore not the correct answer","Correct. Cataracts are the leading cause of blindness worldwide, most commonly due to increasing age but there are many other factors involved such as a patient’s medical history.","Incorrect. Diabetic retinopathy is often due to poor control of diabetes and can be progressive. In many cases, it can lead to blindness which may be irreversible and is not always easily treatable.","Incorrect. Corneal clouding may occur secondary to a number of conditions such as keratitis, abrasion and due to damage from foreign bodies. Management will depend on the underlying cause but a corneal transplant can be done in late stages. However it is not the most common cause of reversible blindness.",Incorrect. Capsular opacification does not occur secondary to drugs and therefore this is not a known cause of eye pathology.,2
8,,,,28,b,,Which of the following may be the most important investigation to additionally conduct in this patient?,HbA1c,Retinal photography,Tonometry,Eye swab,B-scan ultrasonography,"Correct. HbA1c is a useful tool for diagnosis and monitoring of diabetes, and may be the cause of his cataract in this case. As a result, it can be helpful to identify if further treatment of his diabetes may be needed in the complete work up.","Incorrect. This may be helpful for his medical records, however it does not have any value to the current scenario given the ophthalmologist has already seen the changes on fundoscopy.","Incorrect. Though this is an important investigation to conduct, since diabetes is strongly associated with glaucoma, the patient is not currently presenting with any symptoms of glaucoma nor were any findings of optic disc cupping identified on fundoscopy.","Incorrect. Although patients with diabetes are at higher risk of infection, this patient does not have any signs of eye infection currently.","Incorrect. This is a useful test to assess the retina where fundoscopy does not visualise it, such as in the case of trauma.",1
8,,,,29,c,,The patient is identified to be eligible for surgery to remove his cataract. Which of the following is the most significant indication for phacoemulsification surgery as a treatment option?,Visual acuity,Quality of life,Size of the cataract,Type of cataract,Type of cataract,Incorrect. NICE guidelines explain that the decision to offer cataract surgery should not be based on visual acuity alone.,"Correct. Although deciding when to do surgery involves several factors, quality of life (and risk of complications) are perhaps the most important factors. This ties in with the risks of surgery compared to the benefits.",Incorrect. This is not as significant of a factor when deciding whether to do surgery or not.,Incorrect. This is not as significant of a factor when deciding whether to do surgery or not.,Incorrect. This is not as significant of a factor when deciding whether to do surgery or not.,2
8,,,,30,d,,"The patient attends his pre-op appointment to check he is medically fit for his surgery. Whilst taking a history, the nurse asks him if he is currently taking a particular medication which may increase his risk of ophthalmic complications. Which additional medication might she be referring to?",Amlodipine,Atorvastatin,Glipizide,Desmopressin,Tamsulosin,"Incorrect. Although it may be useful to consider if the patient is on amlodipine for surgery (due to risk of hypotension), it is unlikely to be an issue for phacoemulsification since this is usually done under local anaesthetic as opposed to systemic. Additionally, this doesn’t answer the question which asks for ophthalmic complications.",Incorrect. Atorvastatin is not known to increase risk of eye complications following cataract surgery.,"Incorrect. Similar to amlodipine, stopping gliclazide may be helpful to reduce the risk of hypoglycaemia, but again this doesn’t relate to any complications related to the eye","Incorrect. Desmopressin is not known to cause any ocular complications after cataract surgery. In fact, it may be used to treat complications such as bleeds following surgery in patients with Von Willebrand disease.","Correct. Tamsulosin (an alpha blocker) can cause the iris to become floppy by blocking alpha 1a receptors in the eye, making phacoemulsification harder to undertake. This is called Floppy Iris Syndrome. The other important group of drugs to be wary of are anticoagulants due to a higher bleeding risk.",5
8,,,,31,e,,The patient has successfully undergone his cataract surgery. He asks you about the complications of cataract surgery. Which of the following is the most common complication to occur following phacoemulsification surgery?,Cystoid macular oedema,Retinal detachment,Posterior capsular opacification,Raised intraocular pressure,Corneal oedema,Incorrect. This is not the most common complication,"Incorrect. Detachment is rare, occurring in around 3.2% of cases","Correct. This is the most common complication, accounting for just over 20% of cases.","Incorrect. However, raised IOP is the second most common complication, occurring in 9.7% of cases.","Incorrect. This is another rare complication, also occurring in just over 3% of cases.",3
8,,,,32,f,,Which of the following is most strongly associated with posterior subcapsular cataract?,Glare and halos,Blurred vision,Pain,Loss of colour vision,Loss of near vision,Correct. Glares and halos are most commonly associated with PSC,Incorrect. This is a feature common in any type of cataract.,Incorrect. Cataracts of any type are normally painless.,Incorrect. This is a feature common in any type of cataract.,"Incorrect. Near vision is often lost due to stiffness of the lens, and may arise in any cataract.",1
9,active,11/01/2022,Ophthalmology,33,a,"A 3 month old baby is brought into the GP by his mother after noticing that one of his eyes appeared white in a flash photo. The GP examines the baby and confirms a loss of the red reflex in the right eye. The child appears to look healthy otherwise, but after looking into his medical history the doctor notices that he has had several issues after birth and was diagnosed with a patent ductus arteriosus, with a background of deafness.",Which of the following is the most likely underlying diagnosis?,Turner’s syndrome,Congenital rubella syndrome,Congenital varicella syndrome,William’s syndrome,Fragile X,Incorrect. Turner’s syndrome is a condition that affects females with a single X chromosome. Symptoms include a short stature and broad chest. It is not associated with the features described.,"Correct. The triad of this condition is deafness, PDA and cataracts (as suggested by the loss of the red reflex). As a result, this is the most likely diagnosis.","Incorrect. CVS develops as a maculopapular rash with significant neurological defects including microcephaly and reduced tendon reflexes, which have not been observed in this patient.","Incorrect. Williams syndrome presents as an overly friendly child with small, widely spaced teeth, prominent lower lip and small chin.","Incorrect. Patients with this condition have large ears, a long face and macroorchidism, which is not described here.",2
9,,,,34,b,,The doctor explains that it is advised that the baby has surgery to remove the cataract. Which of the following is the most important reason to operate early in children?,Increases the risk of blindness later on,Increased risk of amblyopia,Greater risk of retinopathy of prematurity,Greater risk of childhood eye infections,May be more likely to be passed to their own children if treated later on,"Incorrect. Though cataract may lead to blindness, it is easily reversible and therefore this is not the most important reason","Correct. Amblyopia is defined as a ‘lazy eye’ in simple terms, and describes how the brain ignores input from the weaker eye, thereby the stronger eye is relied upon more greatly for vision. This can be an issue since it alters the depth of vision perception, and can be harder to reverse as the child grows.","Incorrect. ROP occurs in premature infants who have received oxygen as a treatment option during their time in hospital. This has not been mentioned in the stem, and it is not a reason for conducting surgery early.",Incorrect. There is actually a higher risk of eye infection secondary to cataract surgery therefore this doesn't answer the question correctly.,"Incorrect. Congenital cataracts does have an element of hereditary nature, but in this case the cause was infection and therefore genetics are less likely to play a role. Also, on the basis of hereditary diseases, treating or not treating a person will have the same risk of passing the gene onto future generations.",2
