learningPointNumber,dateModified,categories,learningPoint
87,28/12/21,Ophthalmology,"Viral conjunctivitis is the most common infective cause, followed by bacteria except in the case of neonatal conjunctivitis where the reverse is true."
88,28/12/21,Ophthalmology,"Risk factors for allergic include having other atopic diseases (e.g. rhinitis) and may be triggered by pollen, dust or animal dander."
89,28/12/21,Ophthalmology,"Common viral causes include adenovirus, EBV and herpes zoster."
90,28/12/21,Neurology ,"Trigeminal neuralgia is a facial pain syndrome that is paroxysmal (up to 2 minutes before remission), lancinating, excruciating and sometimes incapacitating pain that occurs across 1 or more of the branches of the trigeminal nerve"
91,28/12/21,Neurology,It is more commonly seen in females of the age 50-60 and incidence increases with age
92,28/12/21,Neurology ,Trigeminal neuralgia is caused by the compression of the trigeminal nerve root by an intracranial artery causing local demyelination and consequent aberrant conduction
93,28/12/21,Neurology ,The most commonly affected branch of the trigeminal nerve is the Maxillary (CNV2)
94,28/12/21,Neurology ,Primary trigeminal neuralgia is a clinical diagnosis (History and through examination)
95,28/12/21,Neurology ,First line treatment for Trigeminal Neuralgia is Carbamazepine
96,28/12/21,Neurology ,"If carbamazepine is not tolerated or does not work for the patient - refer to specialist services for either alternative medication, microvascular decompression or neuroablative treatments"
97,28/12/21,Neurology ,"In the presence of red flag symptoms i.e. sensory changes, deafness, optic neuritis, bilateral trigeminal neuralgia and trigeminal neuralgia affecting the ophthalmic branch (CNV1) - urgent referral to specialist services for further investigation and care."
98,28/12/21,Neurology ,Secondary trigeminal neuralgia needs further investigation with electrophysiology testing and relevant imaging i.e. MRI brain and/or intra-oral x-ray
99,28/12/21,Neurology ,"Key features of meningitis include: Headache, neck-stiffness, fever, altered mental status, photophobia, nausea / vomiting, lethargy and malaise."
100,28/12/21,Neurology ,Management in the community if meningitis is suspected is to call 999 for an emergency ambulance.
101,28/12/21,Neurology ,"Management in the community if there is a non-blanching petechial rash and meningitis is suspected, IV/IM Benzylpenicillin is given."
102,28/12/21,Neurology ,"Initial investigations to be performed on all patients with suspected meningitis include: blood cultures, throat swab for pneumococcus and enteroviruses, blood for PCR of pneumococcus and meningococcus, serum glucose, FBC, U&Es, VBG, CRP, LFT, Coagulation screen and HIV screen"
103,28/12/21,Neurology ,"Meningitis often features with signs of sepsis / septic shock (emergency), including: tachycardia, hypotension, dyspnea, leg pain, mottled appearance, capillary refill time of >2s, cold peripheries and poor urine output."
104,28/12/21,Neurology ,"Meningococcal disease (N.meningitidis) is an emergency as it can cause DIC, seen on the patient as a non-blanching purpuric/petechial rash. It can also cause hypotension and an altered mental state."
105,28/12/21,Neurology ,N. meningitidis is most common in young adults
106,28/12/21,Neurology ,"Delay lumbar puncture without CT if there are signs of respiratory / cardiac compromise, severe sepsis, evolving petechial rash (coagulopathy). Avoid lumbar puncture if there is an infection at the site of lumbar puncture"
107,28/12/21,Neurology ,"Provide empirical antibiotics after LP if LP is done within 1 hour, otherwise immediately after blood cultures."
108,28/12/21,Neurology ,"Antibiotic therapy differs by the bacteria isolated: meningococcal disease = IV cefotaxime / ceftriaxone / benzylpenicillin, listeria monocytogenes = IV amoxicillin, pneumococcal disease = IV cefotaxime"
109,28/12/21,Neurology ,Meningococcal disease can result in Waterhouse-friderichsen syndrome which is acute bilateral hemorrhagic necrosis of the adrenal glands. It occurs alongside DIC usually and presents with non-specific systemic symptoms that can be difficult to differentiate with sepsis.
110,28/12/21,Neurology ,"Meningitis can feature with signs of raised ICP further in its course of progression (or sooner in fungal meningitis). These include: bulging fontanelle in infants, focal neurological signs, papilloedema, dropping GCS count."
111,28/12/21,Neurology ,Bacterial meningitis is most seen in those aged <3 months and >60 years
112,28/12/21,Neurology ,"In neonates and infants <3 months, the most common cause of bacterial meningitis is Group B streptococcus. Two other common causes are E.coli and L. monocytogenes."
113,28/12/21,Neurology ,"Empirical antibiotics differ by age: <3 months = IV cefotaxime + amoxicillin, 3months - 50 years = IV cefotaxime, >50 years = IV cefotaxime + amoxicillin."
114,28/12/21,Neurology ,"Key features of meningitis include: Headache, neck-stiffness, fever, altered mental status, photophobia, nausea / vomiting, lethargy and malaise."
115,28/12/21,Neurology ,The diagnostic investigation for meningitis is a Lumbar puncture for CSF analysis
116,28/12/21,Neurology ,"CSF is analysed for opening pressure, white cell count, CSF protein, CSF glucose and CSF-blood glucose ration. It is also sent for microscopy, gram stain, culture and sensitivities. CSF PCR for bacteria (pneumococci & meningococci), or viral (enterovirus, HSV-1 & 2, varicella zoster), or fungal (cryptococcus antigen)."
117,28/12/21,Neurology ,Viral meningitis is the most common cause of meningitis in the UK
118,28/12/21,Neurology ,"CSF analysis for viral meningitis shows a normal opening pressure with a clear appearance, a highly raised white cell count, lymphocytes in microscopy, mildly raised CSF protein, normal CSF glucose, and normal CSF-blood glucose ratio."
119,28/12/21,Neurology ,"Viral meningitis is diagnosed with CSF PCR for enteroviruses, HSV-1&2 and varicella zoster."
120,28/12/21,Neurology ,Human enteroviruses are the most common cause of viral meningitis. They are spread through faecal-oral transmission.
121,28/12/21,Neurology ,"If viral meningitis is confirmed with a CSF PCR, stop steroid and antibiotic therapy, treat with paracetamol, ondansetron and fluid management."
122,28/12/21,Neurology ,"Risk factors for viral meningitis include: young, elderly, immunocompromised, living in crowded places, exposure to mosquito or tick vectors, unvaccinated for mumps, swimming pool use."
123,28/12/21,Neurology ,"Delay lumbar puncture and perform CT scan IF there are signs of raised ICP, seizures, GCS<=12 or suspected fungal meningitis"
124,28/12/21,Neurology ,"CSF analysis for fungal meningitis shows a raised opening pressure with a cloudy appearance, a raised white cell count, lymphocytes on microscopy, a raised CSF protein, and a slightly low CSF glucose, thus a slightly low CSF-blood glucose ratio."
125,28/12/21,Neurology ,"Risk factors for fungal meningitis include: HIV/AIDS, other causes of immunosuppression, recent neurosurgical procedures."
126,28/12/21,Neurology ,The most common cause of a fungal meningitis is Cryptococcus neoformans
127,28/12/21,Neurology ,"If fungal meningitis is confirmed with CSF PCR, treat with IV amphotericin B and IV fluconazole. Eventually stop the amphotericin B and continue with fluconazole"
128,28/12/21,Neurology ,"Important complications of fungal meningitis includes the complications of amphotericin B therapy (anaemia, nephrotoxicity, hypokalemia and hypomagnesemia), raised ICP, stroke due to vasculitis, and hydrocephalus."
129,30/12/21,Neurology ,Perform an ABCDE assessment with a GCS and NEWS score calculation.
130,30/12/21,Neurology ,Sepsis and septic shock and resulting end-organ damage is often the cause of mortality in patients with meningitis.
131,30/12/21,Neurology ,"Manage sepsis with the Sepsis 6: TAKE blood cultures, serum LDH and urine output. GIVE oxygen, broad spectrum antibiotics and fluid resuscitation."
132,30/12/21,Neurology ,"Insensitive but important signs of meningeal irritation include Kernig’s sign (pain in lower back on knee extension), and Brudzinski’s sign (passive flexion of neck elicits flexion of the knees and/or hips, or passive flexion of one leg causes flexion of the opposite leg)."
133,30/12/21,Neurology ,"Important complications of bacterial meningitis include shock, raised ICP, hydrocephalus, seizures, hearing loss, waterhouse-friderichsen syndrome (meningococcal) and long term cognitive defects"
134,30/12/21,Neurology ,Provide adjunct IV dexamethasone (alongside the antibiotics).
135,30/12/21,Neurology ,"Patients with cardiorespiratory arrest, sepsis, meningococcal disease or shock will need urgent senior input and will take priority over uncomplicated meningitis patients."
136,30/12/21,Neurology ,Patients with any need to delay lumbar puncture will need to be sent to critical care for ICU input
137,30/12/21,Neurology ,"CSF analysis for bacterial meningitis shows a raised opening pressure, purulent appearance, raised white cell count, neutrophils in microscopy, raised CSF protein ,and very low CSF glucose, thus a very low CSF-blood glucose ratio."
138,30/12/21,Neurology ,Men are most commonly affected between the ages of 60-70
139,30/12/21,Neurology ,A myasthenic crisis refers to a life-threatening exacerbation of MG which often presents with dyspnea and may progress to respiratory failure
140,30/12/21,Neurology ,Serial FVCs via spirometry should be recorded to detect the need for ventilation. (Ventilation is often considered at an FVC of <15ml/Kg)
141,30/12/21,Neurology ,"Triggers for a myasthenic crisis include respiratory infection, recent surgery, drugs (aspirin, antimuscarinic drugs, cancer checkpoint inhibitors, some antibiotics and some neuromuscular blocks such as atracurium)"
142,30/12/21,Neurology ,"Management of myasthenic crisis includes treatment with high dose corticosteroids, plasma exchange, IV immunoglobulins and mechanical ventilation"
143,31/12/21,Neurology ,"As the disease progresses other muscle groups can become involved. These include bulbar muscles (leading to dysarthria, dysphagia and difficulty chewing) and proximal limb weakness (leading to difficulty getting up from a seating position)"
144,31/12/21,Neurology ,Seronegative MG refers to patients who are negative for AChR antibodies. These patients commonly have anti MuSK antibodies present and most commonly occur in women aged <40 years
145,31/12/21,Neurology ,Electrophysiological testing in MG include repeated nerve stimulation (decrease in muscle action potentials following repeated impulses) and single fibre electromyography (decreased response to repeated stimulation)
146,31/12/21,Neurology ,"Myasthenia gravis most commonly presents with ocular symptoms in almost all patients which elicit fatigability (worsens at the end of the day). These include: ptosis, diplopia or blurry vision"
147,31/12/21,Neurology ,"Women are more commonly affected than men, with incidence parking around 20-40 years of age"
148,31/12/21,Neurology ,"Risk factors of developing MG include: family history, presence of other autoimmune diseases (e.g. hashimoto’s disease, SLE, rheumatoid arthritis, sarcoidosis) presence of a thymoma or thymic hyperplasia as well as presence of HLA B8 and DR3"
149,31/12/21,Neurology ,"The weakness in MG is associated with an otherwise normal neurological examination (i.e. normal tone, sensation, coordination and reflexes)"
150,31/12/21,Neurology ,Clinical tests for MG include the ice pack test (Improvement of ptosis following application of ice filled glove to eyelid) and Simpsons test (failure to maintain upgaze towards a finger held high)
151,31/12/21,Neurology ,Myasthenia gravis is characterised by autoantibody formation against acetylcholine receptors on the postsynaptic membrane at the neuromuscular junction of skeletal muscle
152,31/12/21,Neurology ,Diagnostic investigations for MG include antibody testing (80-90% of patients have AChR antibodies).
153,31/12/21,Neurology ,"First line management of MG include acetylcholinesterase inhibitors (Pyridostigmine), immunosuppression (prednisolone or azathioprine) as well as thymectomy"
154,31/12/21,Neurology ,Specialised immunotherapy include rituximab in severe MG as well as eculizumab immunotherapy
155,31/12/21,Neurology ,Supporting investigations for MG include CT/MRI chest to detect thymomas as well as TFTs
156,31/12/21,Haematology,"Factors that increase the risks of DVT usually cause venous stasis, hypercoagulability, and/or endothelial damage (‘Virchow’s triad’). Common causes include pregnancy, active cancer, major trauma/surgery, recent hospital admission or hormonal medications."
157,31/12/21,Haematology,"Clinical features of DVT include unilateral: leg pain, erythema, pitting oedema, swelling of the leg, and distension of the superficial veins.
"
158,31/12/21,Haematology,Well’s score is calculated to stratify the likelihood of a DVT. 
159,31/12/21,Haematology,"D-dimer has a strong negative predictive value. If it is not elevated, a DVT is highly unlikely and a different diagnosis should be considered. However, it can be falsely elevated e.g., post-surgery, trauma, infection or pregnancy, so has low specificity."
160,31/12/21,Haematology,"A Well’s score of 2 or more is considered likely to be a DVT. These patients should be offered a duplex ultrasound of the leg with results within 4 hours. If unavailable, interim treatment-dose anticoagulation and D-dimer should be offered with a duplex ultrasound scan within 24 hours."
161,31/12/21,Haematology,"The mainstay of treatment for confirmed DVT is anticoagulation. NICE recommend DOACs (rivaroxaban, apixaban) first-line. If these are contraindicated (e.g., pregnancy, eGFR <15, metallic heart valve), LMWH can be used alone in pregnancy or warfarin (bridged by heparin until INR is stable) can be used second-line."
162,31/12/21,Haematology,Patients with a provoked DVT should be anticoagulated for 3 months whereas those with an unprovoked DVT should receive 6 months of anticoagulation.
163,31/12/21,Haematology,"DVT can lead to chronic venous hypertension and valvular damage, resulting in post-thrombotic syndrome. This is characterised by chronic leg pain, pruritus, dragging sensation/heaviness and venous ulceration, and is treated with compression stockings, exercise, weight-loss, and elevation of legs while sitting."
164,31/12/21,Haematology,"A Well’s score of 0-1 is considered unlikely to be a DVT. These patients should be offered a D-dimer - if positive, an ultrasound duplex scan of the leg should be done. "
165,31/12/21,Haematology,"Those with an unprovoked DVT should be investigated for an underlying cause. This includes investigations for underlying thrombophilias, and baseline bloods and clotting investigations to assess for underlying malignancy."
166,31/12/21,Haematology,A life-threatening complication of DVT is a pulmonary embolism.
167,31/12/21,Haematology,Patients who experience a second thrombotic event while being anticoagulated may require lifelong anticoagulation.
168,01/01/22,Haematology,"Factors that increase the risks of PE usually cause venous stasis, hypercoagulability, and/or endothelial damage (‘Virchow’s triad’). Common causes include pregnancy, active cancer, major trauma/surgery, recent hospital admission or hormonal medications."
169,01/01/22,Haematology,"Clinical features are acute-onset and include: pleuritic chest pain, dyspnoea and haemoptysis, accompanied by tachypnoea and tachycardia. Often, the chest is clear with bilateral vesicular breathing on auscultation. Rarely, pleural rubs may be auscultated."
170,01/01/22,Haematology,The vast majority of PEs are accompanied by a concurrent DVT.
171,01/01/22,Haematology,"Well’s score for PE can be calculated to stratify the likelihood of PE. 
"
172,01/01/22,Haematology,"A Well’s score of greater than 4 is considered likely to be a PE. These patients should be admitted to hospital with an immediate CTPA to confirm the diagnosis. If this is not possible, interim therapeutic anticoagulation should be offered while waiting."
173,01/01/22,Haematology,"Haemodynamically stable patients confirmed to have a PE should receive anticoagulation. NICE recommend DOACs (rivoraxaban, apixaban) first-line. If these are contraindicated (e.g., pregnancy, eGFR <15, metallic heart valve), LMWH can be used alone in pregnancy or warfarin (bridged by heparin until INR is stable) can be used second-line."
174,01/01/22,Haematology,"General investigations and findings include a normal chest x-ray, ABG demonstrating a respiratory alkalosis with hypoxaemia, ECG demonstrating sinus tachycardia (common), S1Q3T3 (rare) or signs of right heart strain, and raised troponin and BNP."
175,01/01/22,Haematology,"The disruption to pulmonary circulation leads to hypoxia, hypoxaemia, right heart strain and finally cardiac arrest."
176,01/01/22,Haematology,"Haemodynamically unstable patients with a suspected PE should be managed with an A-E approach. They may also have a bedside echocardiography followed by rapid thrombolysis. If thrombolysis is contraindicated, an embolectomy can be performed."
177,01/01/22,Haematology,"A saddle embolus may lead to haemodynamic instability, characterised by hypotension and syncope."
178,01/01/22,Haematology,Patients with a provoked PE should be anticoagulated for 3 months whereas those with an unprovoked PE should receive 6 months of anticoagulation.
179,01/01/22,Haematology,Those with an unprovoked PE are investigated for underlying thrombophilia
180,01/01/22,Haematology,"A Well’s score of 0-4 is considered unlikely to be a PE. These patients should be offered a D-dimer test with results within 4 hours - if positive, an immediate CTPA should be done. If either tests are not available with results within the appropriate time frame, interim therapeutic anticoagulation should be offered while waiting.
"
181,01/01/22,Haematology,"D-dimer has a strong negative predictive value. If it is not elevated, a PE is highly unlikely and a different diagnosis should be considered. However, it can be falsely elevated e.g., post-surgery, trauma, infection or pregnancy, so has low specificity.
"
182,01/01/22,Haematology,"In patients who cannot have a CTPA (contraindications include eGFR < 30, contrast allergy), consider a V/Q scan."
183,02/01/22,Neurology ,Diagnosis of EDH is made with a CT head scan.
184,02/01/22,Neurology ,CT scan will show a hyperdense lenticular/biconvex lesion that does not cross suture lines. It is often associated with a skull fracture and can commonly cause significant midline shift and brain herniation.
185,02/01/22,Neurology ,Identify use of anticoagulation (especially warfarin) and reverse anticoagulation where it is not contraindicated.
186,02/01/22,Neurology ,"Indications for craniotomy and clot evacuation include: coma, GCS<9 and pupillary abnormalities, symptoms of raised ICP and brain herniation, and large haematoma and significant midline shift on CT."
187,02/01/22,Neurology ,"Perform a CT if there is a drop of >=2 in GCS, new pupillary abnormalities, new cranial nerve palsies or new limb weakness."
188,02/01/22,Neurology ,"Secondary causes of EDH include mastoiditis, coagulopathy, dural metastases and arterio-venous malformations."
189,02/01/22,Neurology ,"Poor prognostic factors include older age, low GCS (<8) on admission, signs of raised ICP, delayed surgery, large haematoma/significant midline shift on CT, and presence of other intracranial lesions."
190,02/01/22,Neurology ,For those who are not indicated for surgery - monitor with serial examinations. Do a CT scan 6 hours after the initial scan.
191,03/01/22,Ophthalmology,Cytomegalovirus is an AIDS defining disease which may lead to chorioretinitis.
192,03/01/22,Ophthalmology,Immunosuppression is an important risk factor for developing severe infection.
193,03/01/22,Ophthalmology,"Key symptoms include blurred vision, new onset floaters and uncommonly, eye pain."
194,03/01/22,Ophthalmology,"Fundoscopy findings include flame haemorrhages, yellow cloudy retinal lesions (which may resemble cotton wool spots) and retinal necrosis."
195,03/01/22,Ophthalmology,Retinitis may develop in over 70% of cases of AIDS associated with CMV.
196,03/01/22,Ophthalmology,The virus initially causes retinitis though haematogenous spread and once targeted by the immune system becomes latent in the lungs/salivary glands.
197,03/01/22,Ophthalmology,"Disease may be classed as fulminant, granular, or perivascular."
198,03/01/22,Ophthalmology,"Though CMV retinitis is a clinical diagnosis, investigations can be helpful for confirming diagnosis, with PCR being the most sensitive."
199,03/01/22,Ophthalmology,"Treatment may not be required or is supportive in most cases involving immunocompetent patients, but immunocompromised patients may require antiviral/immunoglobulin therapy."
200,03/01/22,Ophthalmology,Blindness and treatment related complications such as thrombocytopenia are important to assess for.
201,03/01/22,Ophthalmology,"The most serious complication of CMV retinitis is immune recovery uveitis, which may involve further uveitis and cataract."
202,03/01/22,Ophthalmology,"Key symptoms of acute glaucoma include redness, pain and reduced visual acuity"
